wordpair,boardnames,alpha,budget,clue,clue_probs_union,clue_probs_intersection
army-drum,e2_board8_words,0.0,budget=2,beat,0.005100220743704628,1e-09
army-drum,e2_board8_words,0.0,budget=2,marching,1e-09,1e-09
army-drum,e2_board8_words,0.0,budget=2,war,0.006208321984437594,1e-09
army-drum,e2_board8_words,0.0,budget=2,military,0.007182021657065018,1e-09
army-drum,e2_board8_words,0.0,budget=4,beat,0.0004996224100677374,1e-09
army-drum,e2_board8_words,0.0,budget=4,marching,0.0006027361603686043,1e-09
army-drum,e2_board8_words,0.0,budget=4,war,0.0006081730474450355,0.18934987362687464
army-drum,e2_board8_words,0.0,budget=4,military,0.0007035575810891452,1e-09
army-drum,e2_board8_words,0.0,budget=8,beat,0.00023022766969635239,1e-09
army-drum,e2_board8_words,0.0,budget=8,marching,0.0002777428290788175,1e-09
army-drum,e2_board8_words,0.0,budget=8,war,0.00028024816474188206,0.03311119272638618
army-drum,e2_board8_words,0.0,budget=8,military,0.0003242016753599899,1e-09
army-drum,e2_board8_words,0.0,budget=16,beat,0.0001466009233765607,1e-09
army-drum,e2_board8_words,0.0,budget=16,marching,0.0001768569141053948,1e-09
army-drum,e2_board8_words,0.0,budget=16,war,0.00017845222418284073,0.013283784751177637
army-drum,e2_board8_words,0.0,budget=16,military,0.0002064402816163999,1e-09
army-drum,e2_board8_words,0.0,budget=32,beat,0.00011021904227604,0.004026700387781525
army-drum,e2_board8_words,0.0,budget=32,marching,0.00013296641824364608,1e-09
army-drum,e2_board8_words,0.0,budget=32,war,0.0001341658209814976,0.004901562853542091
army-drum,e2_board8_words,0.0,budget=32,military,0.00015520809557597614,1e-09
army-drum,e2_board8_words,0.0,budget=64,beat,9.078448669981998e-05,0.0015003353815224065
army-drum,e2_board8_words,0.0,budget=64,marching,0.00010952089384274308,1e-09
army-drum,e2_board8_words,0.0,budget=64,war,0.00011050880990201625,0.0018263062720633022
army-drum,e2_board8_words,0.0,budget=64,military,0.00012784077050163824,0.0021127401625224388
army-drum,e2_board8_words,0.0,budget=128,beat,7.997927328185385e-05,0.0007128412501851054
