wordpair,boardnames,alpha,budget,clue,clue_probs_union,clue_probs_intersection
army-drum,e2_board8_words,0.0,budget=2,beat,0.0051002207437046,1e-09
army-drum,e2_board8_words,0.0,budget=2,marching,1e-09,1e-09
army-drum,e2_board8_words,0.0,budget=2,war,0.0062083219844375,1e-09
army-drum,e2_board8_words,0.0,budget=2,military,0.007182021657065,1e-09
army-drum,e2_board8_words,0.0,budget=4,beat,0.0004996224100677,1e-09
army-drum,e2_board8_words,0.0,budget=4,marching,0.0006027361603686,1e-09
army-drum,e2_board8_words,0.0,budget=4,war,0.000608173047445,0.1893498736268746
army-drum,e2_board8_words,0.0,budget=4,military,0.0007035575810891,1e-09
army-drum,e2_board8_words,0.0,budget=8,beat,0.0002302276696963,1e-09
army-drum,e2_board8_words,0.0,budget=8,marching,0.0002777428290788,1e-09
army-drum,e2_board8_words,0.0,budget=8,war,0.0002802481647418,0.0331111927263861
army-drum,e2_board8_words,0.0,budget=8,military,0.0003242016753599,1e-09
army-drum,e2_board8_words,0.0,budget=16,beat,0.0001466009233765,1e-09
army-drum,e2_board8_words,0.0,budget=16,marching,0.0001768569141053,1e-09
army-drum,e2_board8_words,0.0,budget=16,war,0.0001784522241828,0.0132837847511776
army-drum,e2_board8_words,0.0,budget=16,military,0.0002064402816163,1e-09
army-drum,e2_board8_words,0.0,budget=32,beat,0.000110219042276,0.0040267003877815
army-drum,e2_board8_words,0.0,budget=32,marching,0.0001329664182436,1e-09
army-drum,e2_board8_words,0.0,budget=32,war,0.0001341658209814,0.004901562853542
army-drum,e2_board8_words,0.0,budget=32,military,0.0001552080955759,1e-09
army-drum,e2_board8_words,0.0,budget=64,beat,9.078448669981998e-05,0.0015003353815224
army-drum,e2_board8_words,0.0,budget=64,marching,0.0001095208938427,1e-09
army-drum,e2_board8_words,0.0,budget=64,war,0.000110508809902,0.0018263062720633
army-drum,e2_board8_words,0.0,budget=64,military,0.0001278407705016,0.0021127401625224
army-drum,e2_board8_words,0.0,budget=128,beat,7.997927328185385e-05,0.0007128412501851
army-drum,e2_board8_words,0.0,budget=128,marching,9.648566420477458e-05,1e-09
army-drum,e2_board8_words,0.0,budget=128,war,9.73559980179226e-05,0.0008677169533104
army-drum,e2_board8_words,0.0,budget=128,military,0.0001126251003028,0.00100380778679
army-drum,e2_board8_words,0.0,budget=256,beat,7.458758796297492e-05,0.0003910718189467
army-drum,e2_board8_words,0.0,budget=256,marching,8.998122476904896e-05,1e-09
army-drum,e2_board8_words,0.0,budget=256,war,9.079288630561432e-05,0.0004760381742414
army-drum,e2_board8_words,0.0,budget=256,military,0.0001050326444712,0.0005506989627087
army-drum,e2_board8_words,0.0,budget=512,beat,7.196801547912509e-05,0.0002360867312504
army-drum,e2_board8_words,0.0,budget=512,marching,8.682101612166497e-05,1e-09
army-drum,e2_board8_words,0.0,budget=512,war,8.760417149138068e-05,0.0002873801973503
army-drum,e2_board8_words,0.0,budget=512,military,0.0001013438185837,0.0003324522803996
army-drum,e2_board8_words,0.1,budget=2,beat,0.0068091801001605,1e-09
army-drum,e2_board8_words,0.1,budget=2,marching,1e-09,1e-09
army-drum,e2_board8_words,0.1,budget=2,war,0.0082668839252086,1e-09
army-drum,e2_board8_words,0.1,budget=2,military,0.01066949196497,1e-09
army-drum,e2_board8_words,0.1,budget=4,beat,0.0007761577867146,1e-09
army-drum,e2_board8_words,0.1,budget=4,marching,0.0013946291156313,1e-09
army-drum,e2_board8_words,0.1,budget=4,war,0.000942317024375,0.2354552738414386
army-drum,e2_board8_words,0.1,budget=4,military,0.0012161830274845,1e-09
army-drum,e2_board8_words,0.1,budget=8,beat,0.0003684418546642,1e-09
army-drum,e2_board8_words,0.1,budget=8,marching,0.0006620299979297,1e-09
