"ID","correctedClue","associateRT","Prime","Target","Proc","session","date","w1w2","w2w1","boardnames","wordpair","Level"
"yqxaezasox","bear",1898,"TIGER","LION","S2",1,"2019-10-30_16h24.05.222","TIGER-LION","LION-TIGER","board-lion-tiger","lion-tiger","Easy"
"mftbstsgcx","bear",2150,"LION","TIGER","S1",1,"2019-10-28_00h36.39.041","LION-TIGER","TIGER-LION","board-lion-tiger","lion-tiger","Easy"
"geckeaskjr","ferocious",7084,"TIGER","LION","S2",1,"2019-10-31_00h05.01.012","TIGER-LION","LION-TIGER","board-lion-tiger","lion-tiger","Easy"
"vvqyhglcjz","cheetah",2799,"LION","TIGER","S1",1,"2019-10-28_18h23.27.704","LION-TIGER","TIGER-LION","board-lion-tiger","lion-tiger","Easy"
"rgppgiwqpq","cheetah",3180,"TIGER","LION","S2",1,"2019-10-30_12h06.32.696","TIGER-LION","LION-TIGER","board-lion-tiger","lion-tiger","Easy"
"gkeiawqswm","leopard",6098,"TIGER","LION","S2",1,"2019-10-30_11h56.13.992","TIGER-LION","LION-TIGER","board-lion-tiger","lion-tiger","Easy"
"srjxrbtson","opposite",3665,"NEW","OLD","S2",1,"2020-02-06_18h06.18.802","NEW-OLD","OLD-NEW","board-old-new","old-new","Easy"
"srjxrbtson","trip",5649,"ANKLE","TRAVEL","S2",1,"2020-02-06_18h06.18.802","ANKLE-TRAVEL","TRAVEL-ANKLE","board-travel-ankle","travel-ankle","Medium"
"srjxrbtson","God",3365,"KIND","HOLY","S2",1,"2020-02-06_18h06.18.802","KIND-HOLY","HOLY-KIND","board-holy-kind","holy-kind","Medium"
"srjxrbtson","sail",2432,"WIND","STERN","S2",1,"2020-02-06_18h06.18.802","WIND-STERN","STERN-WIND","board-stern-wind","stern-wind","Medium"
"srjxrbtson","round",4148,"BOWL","SUN","S2",1,"2020-02-06_18h06.18.802","BOWL-SUN","SUN-BOWL","board-sun-bowl","sun-bowl","Medium"
"srjxrbtson","chair",3998,"STAND","SIT","S2",1,"2020-02-06_18h06.18.802","STAND-SIT","SIT-STAND","board-sit-stand","sit-stand","Easy"
"srjxrbtson","dentist",2615,"GUMS","TEETH","S2",1,"2020-02-06_18h06.18.802","GUMS-TEETH","TEETH-GUMS","board-teeth-gums","teeth-gums","Easy"
"srjxrbtson","corbinbleu",6449,"LEAP","JUMP","S2",1,"2020-02-06_18h06.18.802","LEAP-JUMP","JUMP-LEAP","board-jump-leap","jump-leap","Easy"
"srjxrbtson","metal",5498,"SILVER","GOLD","S2",1,"2020-02-06_18h06.18.802","SILVER-GOLD","GOLD-SILVER","board-gold-silver","gold-silver","Easy"
"srjxrbtson","pain",2682,"TRAUMA","WEIRD","S2",1,"2020-02-06_18h06.18.802","TRAUMA-WEIRD","WEIRD-TRAUMA","board-weird-trauma","weird-trauma","Medium"
"srjxrbtson","bear",2632,"TIGER","LION","S2",1,"2020-02-06_18h06.18.802","TIGER-LION","LION-TIGER","board-lion-tiger","lion-tiger","Easy"
"srjxrbtson","bathandbodyworks",5864,"WICK","CANDLE","S2",1,"2020-02-06_18h06.18.802","WICK-CANDLE","CANDLE-WICK","board-candle-wick","candle-wick","Easy"
"srjxrbtson","zoo",3797,"CAGE","GLASS","S2",1,"2020-02-06_18h06.18.802","CAGE-GLASS","GLASS-CAGE","board-glass-cage","glass-cage","Hard"
"srjxrbtson","nature",2750,"ROCK","ELM","S2",1,"2020-02-06_18h06.18.802","ROCK-ELM","ELM-ROCK","board-elm-rock","elm-rock","Easy"
"srjxrbtson","dining room",4683,"TABLE","CHAIR","S2",1,"2020-02-06_18h06.18.802","TABLE-CHAIR","CHAIR-TABLE","board-chair-table","chair-table","Medium"
"srjxrbtson","emotion",3513,"SAD","HAPPY","S2",1,"2020-02-06_18h06.18.802","SAD-HAPPY","HAPPY-SAD","board-happy-sad","happy-sad","Easy"
"srjxrbtson","cadet",5234,"DRUM","ARMY","S2",1,"2020-02-06_18h06.18.802","DRUM-ARMY","ARMY-DRUM","board-army-drum","army-drum","Easy"
"srjxrbtson","armor",4031,"KNIGHT","CAVE","S2",1,"2020-02-06_18h06.18.802","KNIGHT-CAVE","CAVE-KNIGHT","board-cave-knight","cave-knight","Medium"
"heimlliups","mammals",4714,"TIGER","LION","S2",1,"2019-10-31_18h22.39.421","TIGER-LION","LION-TIGER","board-lion-tiger","lion-tiger","Easy"
"icrnjleior","metal",3032,"SILVER","GOLD","S2",1,"2020-02-09_22h55.17.124","SILVER-GOLD","GOLD-SILVER","board-gold-silver","gold-silver","Easy"
"icrnjleior","outside",13316,"BONE","GARAGE","S2",1,"2020-02-09_22h55.17.124","BONE-GARAGE","GARAGE-BONE","board-garage-bone","garage-bone","Hard"
"icrnjleior","negative",5618,"REGRET","RUDE","S2",1,"2020-02-09_22h55.17.124","REGRET-RUDE","RUDE-REGRET","board-rude-regret","rude-regret","Hard"
"icrnjleior","midwife",6546,"BIRTH","HAND","S2",1,"2020-02-09_22h55.17.124","BIRTH-HAND","HAND-BIRTH","board-hand-birth","hand-birth","Medium"
"icrnjleior","future",4282,"BET","DREAM","S2",1,"2020-02-09_22h55.17.124","BET-DREAM","DREAM-BET","board-dream-bet","dream-bet","Hard"
"icrnjleior","military",2996,"DRUM","ARMY","S2",1,"2020-02-09_22h55.17.124","DRUM-ARMY","ARMY-DRUM","board-army-drum","army-drum","Easy"
"icrnjleior","flame",7435,"WICK","CANDLE","S2",1,"2020-02-09_22h55.17.124","WICK-CANDLE","CANDLE-WICK","board-candle-wick","candle-wick","Easy"
"icrnjleior","strange",5847,"TRAUMA","WEIRD","S2",1,"2020-02-09_22h55.17.124","TRAUMA-WEIRD","WEIRD-TRAUMA","board-weird-trauma","weird-trauma","Medium"
"icrnjleior","fairytale",8751,"KNIGHT","CAVE","S2",1,"2020-02-09_22h55.17.124","KNIGHT-CAVE","CAVE-KNIGHT","board-cave-knight","cave-knight","Medium"
"icrnjleior","forest",2665,"ROCK","ELM","S2",1,"2020-02-09_22h55.17.124","ROCK-ELM","ELM-ROCK","board-elm-rock","elm-rock","Easy"
"icrnjleior","people",4099,"CHAPEL","FEET","S2",1,"2020-02-09_22h55.17.124","CHAPEL-FEET","FEET-CHAPEL","board-feet-chapel","feet-chapel","Hard"
"icrnjleior","danger",6882,"ASH","SNAKE","S2",1,"2020-02-09_22h55.17.124","ASH-SNAKE","SNAKE-ASH","board-snake-ash","snake-ash","Hard"
"icrnjleior","mouth",2681,"GUMS","TEETH","S2",1,"2020-02-09_22h55.17.124","GUMS-TEETH","TEETH-GUMS","board-teeth-gums","teeth-gums","Easy"
"icrnjleior","brave",4636,"LEAP","JUMP","S2",1,"2020-02-09_22h55.17.124","LEAP-JUMP","JUMP-LEAP","board-jump-leap","jump-leap","Easy"
"icrnjleior","chair",4547,"STAND","SIT","S2",1,"2020-02-09_22h55.17.124","STAND-SIT","SIT-STAND","board-sit-stand","sit-stand","Easy"
"icrnjleior","large",10184,"TIGER","LION","S2",1,"2020-02-09_22h55.17.124","TIGER-LION","LION-TIGER","board-lion-tiger","lion-tiger","Easy"
"icrnjleior","dinner",2288,"TABLE","CHAIR","S2",1,"2020-02-09_22h55.17.124","TABLE-CHAIR","CHAIR-TABLE","board-chair-table","chair-table","Medium"
"icrnjleior","hint",10860,"SUBTLE","GIANT","S2",1,"2020-02-09_22h55.17.124","SUBTLE-GIANT","GIANT-SUBTLE","board-giant-subtle","giant-subtle","Hard"
"icrnjleior","round",4203,"BOWL","SUN","S2",1,"2020-02-09_22h55.17.124","BOWL-SUN","SUN-BOWL","board-sun-bowl","sun-bowl","Medium"
"icrnjleior","religion",9177,"KIND","HOLY","S2",1,"2020-02-09_22h55.17.124","KIND-HOLY","HOLY-KIND","board-holy-kind","holy-kind","Medium"
"icrnjleior","dirt",6117,"BOOT","CRUST","S2",1,"2020-02-09_22h55.17.124","BOOT-CRUST","CRUST-BOOT","board-crust-boot","crust-boot","Medium"
"icrnjleior","age",3174,"NEW","OLD","S2",1,"2020-02-09_22h55.17.124","NEW-OLD","OLD-NEW","board-old-new","old-new","Easy"
"icrnjleior","distance",9463,"ANKLE","TRAVEL","S2",1,"2020-02-09_22h55.17.124","ANKLE-TRAVEL","TRAVEL-ANKLE","board-travel-ankle","travel-ankle","Medium"
"icrnjleior","trapped",11267,"CAGE","GLASS","S2",1,"2020-02-09_22h55.17.124","CAGE-GLASS","GLASS-CAGE","board-glass-cage","glass-cage","Hard"
"icrnjleior","bright",5979,"GLOW","QUICK","S2",1,"2020-02-09_22h55.17.124","GLOW-QUICK","QUICK-GLOW","board-quick-glow","quick-glow","Hard"
"icrnjleior","boat",5154,"WIND","STERN","S2",1,"2020-02-09_22h55.17.124","WIND-STERN","STERN-WIND","board-stern-wind","stern-wind","Medium"
"icrnjleior","fruit",4381,"REAL","OLIVE","S2",1,"2020-02-09_22h55.17.124","REAL-OLIVE","OLIVE-REAL","board-olive-real","olive-real","Hard"
"icrnjleior","emotion",3511,"SAD","HAPPY","S2",1,"2020-02-09_22h55.17.124","SAD-HAPPY","HAPPY-SAD","board-happy-sad","happy-sad","Easy"
"vyrjcxfjvo","Jesus",2714,"KIND","HOLY","S2",1,"2020-02-06_14h53.15.602","KIND-HOLY","HOLY-KIND","board-holy-kind","holy-kind","Medium"
"vyrjcxfjvo","flame",9846,"WICK","CANDLE","S2",1,"2020-02-06_14h53.15.602","WICK-CANDLE","CANDLE-WICK","board-candle-wick","candle-wick","Easy"
"vyrjcxfjvo","forest",2581,"ROCK","ELM","S2",1,"2020-02-06_14h53.15.602","ROCK-ELM","ELM-ROCK","board-elm-rock","elm-rock","Easy"
"vyrjcxfjvo","flash",2797,"GLOW","QUICK","S2",1,"2020-02-06_14h53.15.602","GLOW-QUICK","QUICK-GLOW","board-quick-glow","quick-glow","Hard"
"vyrjcxfjvo","scared",7881,"TRAUMA","WEIRD","S2",1,"2020-02-06_14h53.15.602","TRAUMA-WEIRD","WEIRD-TRAUMA","board-weird-trauma","weird-trauma","Medium"
"vyrjcxfjvo","bad",3884,"DRUM","ARMY","S2",1,"2020-02-06_14h53.15.602","DRUM-ARMY","ARMY-DRUM","board-army-drum","army-drum","Easy"
"vyrjcxfjvo","emotion",1766,"SAD","HAPPY","S2",1,"2020-02-06_14h53.15.602","SAD-HAPPY","HAPPY-SAD","board-happy-sad","happy-sad","Easy"
"vyrjcxfjvo","tiny",2100,"BIRTH","HAND","S2",1,"2020-02-06_14h53.15.602","BIRTH-HAND","HAND-BIRTH","board-hand-birth","hand-birth","Medium"
