wordpair,boardnames,budget,clue,clue_probs_union,clue_probs_intersection
army-drum,e2_board8_words,budget=2,beat,0.02432412087568119,1e-09
army-drum,e2_board8_words,budget=2,marching,1e-09,1e-09
army-drum,e2_board8_words,budget=2,war,0.04112004951633301,1e-09
army-drum,e2_board8_words,budget=2,military,0.07820729308479425,1e-09
army-drum,e2_board8_words,budget=4,beat,0.010813626592989819,1e-09
army-drum,e2_board8_words,budget=4,marching,0.20751894943235544,1e-09
army-drum,e2_board8_words,budget=4,war,0.018280490515052348,0.2867806551397087
army-drum,e2_board8_words,budget=4,military,0.03476814099838649,1e-09
army-drum,e2_board8_words,budget=8,beat,0.009090024642069885,1e-09
army-drum,e2_board8_words,budget=8,marching,0.1744421584946753,1e-09
army-drum,e2_board8_words,budget=8,war,0.015366732688797877,0.21597940025761062
army-drum,e2_board8_words,budget=8,military,0.029226389104204484,1e-09
army-drum,e2_board8_words,budget=16,beat,0.008097341547122348,1e-09
army-drum,e2_board8_words,budget=16,marching,0.1553920691272177,1e-09
army-drum,e2_board8_words,budget=16,war,0.013688596889897136,0.13435004642878454
army-drum,e2_board8_words,budget=16,military,0.026034698923758915,1e-09
army-drum,e2_board8_words,budget=32,beat,0.0075001059119557175,0.05536371697477928
army-drum,e2_board8_words,budget=32,marching,0.14393081600297072,1e-09
army-drum,e2_board8_words,budget=32,war,0.012678967024279938,0.09359264390464496
army-drum,e2_board8_words,budget=32,military,0.024114457588054243,1e-09
army-drum,e2_board8_words,budget=64,beat,0.00678153280461682,0.035974594635188165
army-drum,e2_board8_words,budget=64,marching,0.13014103557704218,1e-09
army-drum,e2_board8_words,budget=64,war,0.01146421554750932,0.06081523440413007
army-drum,e2_board8_words,budget=64,military,0.02180409011801384,0.11566607815428549
army-drum,e2_board8_words,budget=128,beat,0.006530137779189997,0.02676368928742822
army-drum,e2_board8_words,budget=128,marching,0.12531663821872074,1e-09
army-drum,e2_board8_words,budget=128,war,0.011039230983974864,0.045244152270229994
army-drum,e2_board8_words,budget=128,military,0.020995800908545578,0.08605103151846798
army-drum,e2_board8_words,budget=256,beat,0.00642470204979494,0.01971029437747236
army-drum,e2_board8_words,budget=256,marching,0.12329327338283114,1e-09
army-drum,e2_board8_words,budget=256,war,0.010860991349511856,0.033320352456950454
army-drum,e2_board8_words,budget=256,military,0.02065680230577789,0.06337284611620662
army-drum,e2_board8_words,budget=512,beat,0.00626321018720012,0.015837054230793072
army-drum,e2_board8_words,budget=512,marching,0.12019416307239406,1e-09
army-drum,e2_board8_words,budget=512,war,0.01058798853800951,0.026772620375116647
army-drum,e2_board8_words,budget=512,military,0.02013757114863504,0.050919543943958825
bad-actress,e1_board8_words,budget=2,movie,0.06421483791687374,1e-09
bad-actress,e1_board8_words,budget=2,imitate,1e-09,1e-09
bad-actress,e1_board8_words,budget=2,music,1e-09,1e-09
bad-actress,e1_board8_words,budget=2,drama,0.022911949567547874,1e-09
bad-actress,e1_board8_words,budget=4,movie,0.03747093559816995,0.31239846492487433
bad-actress,e1_board8_words,budget=4,imitate,1e-09,1e-09
bad-actress,e1_board8_words,budget=4,music,0.00026430669797487247,1e-09
bad-actress,e1_board8_words,budget=4,drama,0.013369685488974933,1e-09
bad-actress,e1_board8_words,budget=8,movie,0.029229952700507152,0.27443980394446116
bad-actress,e1_board8_words,budget=8,imitate,1e-09,1e-09
bad-actress,e1_board8_words,budget=8,music,0.0002061777256666649,1e-09
bad-actress,e1_board8_words,budget=8,drama,0.01042929054812499,1e-09
bad-actress,e1_board8_words,budget=16,movie,0.02552653266096602,0.21759990732683893
bad-actress,e1_board8_words,budget=16,imitate,3.681600485106514e-05,1e-09
bad-actress,e1_board8_words,budget=16,music,0.00018005511340093609,1e-09
bad-actress,e1_board8_words,budget=16,drama,0.009107904776144152,1e-09
bad-actress,e1_board8_words,budget=32,movie,0.02274578266142655,0.14081896433868485
bad-actress,e1_board8_words,budget=32,imitate,3.280542860742226e-05,1e-09
bad-actress,e1_board8_words,budget=32,music,0.00016044068855300674,0.0009932870605562588
bad-actress,e1_board8_words,budget=32,drama,0.008115729045172397,1e-09
bad-actress,e1_board8_words,budget=64,movie,0.020924276060265447,0.08487941307551788
bad-actress,e1_board8_words,budget=64,imitate,3.0178334800548116e-05,1e-09
bad-actress,e1_board8_words,budget=64,music,0.0001475924266292816,0.0005987092939609177
bad-actress,e1_board8_words,budget=64,drama,0.007465812783812619,0.030285100683845316
bad-actress,e1_board8_words,budget=128,movie,0.019762199772226794,0.05684584986263809
bad-actress,e1_board8_words,budget=128,imitate,2.8502313743322408e-05,1e-09
bad-actress,e1_board8_words,budget=128,music,0.00013939555239640564,0.00040097047567456593
bad-actress,e1_board8_words,budget=128,drama,0.007051182237837379,0.02028268368228517
bad-actress,e1_board8_words,budget=256,movie,0.01929280545369463,0.04034593367282651
bad-actress,e1_board8_words,budget=256,imitate,2.782532311017746e-05,1e-09
bad-actress,e1_board8_words,budget=256,music,0.000136084611252319,0.0002845859153380413
bad-actress,e1_board8_words,budget=256,drama,0.006883701647643809,0.014395489073165233
bad-actress,e1_board8_words,budget=512,movie,0.018681923287765724,0.03290583695217175
bad-actress,e1_board8_words,budget=512,imitate,2.6944269616427456e-05,1e-09
bad-actress,e1_board8_words,budget=512,music,0.00013177566498367304,0.00023210611024489136
bad-actress,e1_board8_words,budget=512,drama,0.006665737983301995,0.011740851510083784
bat-bounce,e1_board9_words,budget=2,ball,0.486994996207641,1.0
bat-bounce,e1_board9_words,budget=2,echolocation,1e-09,1e-09
bat-bounce,e1_board9_words,budget=2,move,1.305675539328045e-05,1e-09
bat-bounce,e1_board9_words,budget=2,sport,0.011798776757565514,1e-09
bat-bounce,e1_board9_words,budget=4,ball,0.4688700845530925,0.5427327387836982
