wordpair,accessibility,distinctiveness,Clue1,Word1,Word2,Board,Experiment
exam-algebra,high,high,school,EXAM,ALGEBRA,TrialList1,E1
exam-algebra,low,low,calculus,EXAM,ALGEBRA,TrialList1,E1
exam-algebra,high,low,test,EXAM,ALGEBRA,TrialList1,E1
exam-algebra,low,high,math,EXAM,ALGEBRA,TrialList1,E1
giggle-abnormal,high,high,funny,GIGGLE,ABNORMAL,TrialList1,E1
giggle-abnormal,low,low,standout,GIGGLE,ABNORMAL,TrialList1,E1
giggle-abnormal,high,low,happy,GIGGLE,ABNORMAL,TrialList1,E1
giggle-abnormal,low,high,quirky,GIGGLE,ABNORMAL,TrialList1,E1
void-couch,high,high,sit,VOID,COUCH,TrialList1,E1
void-couch,low,low,sedentary,VOID,COUCH,TrialList1,E1
void-couch,high,low,move,VOID,COUCH,TrialList1,E1
void-couch,low,high,empty,VOID,COUCH,TrialList1,E1
pendulum-dusk,high,high,time,PENDULUM,DUSK,TrialList10,E1
pendulum-dusk,low,low,repetitious,PENDULUM,DUSK,TrialList10,E1
pendulum-dusk,high,low,right,PENDULUM,DUSK,TrialList10,E1
pendulum-dusk,low,high,evening,PENDULUM,DUSK,TrialList10,E1
tea-bean,high,high,coffee,TEA,BEAN,TrialList10,E1
tea-bean,low,low,boston,TEA,BEAN,TrialList10,E1
tea-bean,high,low,time,TEA,BEAN,TrialList10,E1
tea-bean,low,high,food,TEA,BEAN,TrialList10,E1
tourist-comedy,high,high,funny,TOURIST,COMEDY,TrialList10,E1
tourist-comedy,low,low,las vegas,TOURIST,COMEDY,TrialList10,E1
tourist-comedy,high,low,show,TOURIST,COMEDY,TrialList10,E1
tourist-comedy,low,high,entertain,TOURIST,COMEDY,TrialList10,E1
beginning-brake,high,high,start,BEGINNING,BRAKE,TrialList2,E1
beginning-brake,low,low,stoplight,BEGINNING,BRAKE,TrialList2,E1
beginning-brake,high,low,time,BEGINNING,BRAKE,TrialList2,E1
beginning-brake,low,high,end,BEGINNING,BRAKE,TrialList2,E1
birds-aircraft,high,high,flight,BIRDS,AIRCRAFT,TrialList2,E1
birds-aircraft,low,low,turbine,BIRDS,AIRCRAFT,TrialList2,E1
birds-aircraft,high,low,fly,BIRDS,AIRCRAFT,TrialList2,E1
birds-aircraft,low,high,sky,BIRDS,AIRCRAFT,TrialList2,E1
school-stop,high,high,class,SCHOOL,STOP,TrialList2,E1
school-stop,low,low,washu,SCHOOL,STOP,TrialList2,E1
school-stop,high,low,end,SCHOOL,STOP,TrialList2,E1
school-stop,low,high,education,SCHOOL,STOP,TrialList2,E1
circle-dance,high,high,round,CIRCLE,DANCE,TrialList3,E1
circle-dance,low,low,moshpit,CIRCLE,DANCE,TrialList3,E1
circle-dance,high,low,move,CIRCLE,DANCE,TrialList3,E1
circle-dance,low,high,twirl,CIRCLE,DANCE,TrialList3,E1
famine-calorie,high,high,food,FAMINE,CALORIE,TrialList3,E1
famine-calorie,low,low,deficit,FAMINE,CALORIE,TrialList3,E1
famine-calorie,high,low,diet,FAMINE,CALORIE,TrialList3,E1
famine-calorie,low,high,hunger,FAMINE,CALORIE,TrialList3,E1
hundred-economy,high,high,money,HUNDRED,ECONOMY,TrialList3,E1
hundred-economy,low,low,benjamin,HUNDRED,ECONOMY,TrialList3,E1
