wordpair,accessibility,distinctiveness,Clue1,Word1,Word2,Board,Experiment
hundred-economy,high,low,number,HUNDRED,ECONOMY,TrialList3,E1
hundred-economy,low,high,dollars,HUNDRED,ECONOMY,TrialList3,E1
corpse-fight,high,high,dead,CORPSE,FIGHT,TrialList4,E1
corpse-fight,low,low,hamilton,CORPSE,FIGHT,TrialList4,E1
corpse-fight,high,low,kill,CORPSE,FIGHT,TrialList4,E1
corpse-fight,low,high,death,CORPSE,FIGHT,TrialList4,E1
graph-copy,high,high,paper,GRAPH,COPY,TrialList4,E1
graph-copy,low,low,microsoft,GRAPH,COPY,TrialList4,E1
graph-copy,high,low,work,GRAPH,COPY,TrialList4,E1
graph-copy,low,high,math,GRAPH,COPY,TrialList4,E1
kitchen-egg,high,high,cook,KITCHEN,EGG,TrialList4,E1
kitchen-egg,low,low,domestic,KITCHEN,EGG,TrialList4,E1
kitchen-egg,high,low,food,KITCHEN,EGG,TrialList4,E1
kitchen-egg,low,high,omelet,KITCHEN,EGG,TrialList4,E1
homeless-apartment,high,high,house,HOMELESS,APARTMENT,TrialList5,E1
homeless-apartment,low,low,price control,HOMELESS,APARTMENT,TrialList5,E1
homeless-apartment,high,low,live,HOMELESS,APARTMENT,TrialList5,E1
homeless-apartment,low,high,residence,HOMELESS,APARTMENT,TrialList5,E1
near-astronaut,high,high,far,NEAR,ASTRONAUT,TrialList5,E1
near-astronaut,low,low,space station,NEAR,ASTRONAUT,TrialList5,E1
near-astronaut,high,low,train,NEAR,ASTRONAUT,TrialList5,E1
near-astronaut,low,high,space,NEAR,ASTRONAUT,TrialList5,E1
onion-cigarette,high,high,smell,ONION,CIGARETTE,TrialList5,E1
onion-cigarette,low,low,halitosis,ONION,CIGARETTE,TrialList5,E1
onion-cigarette,high,low,mouth,ONION,CIGARETTE,TrialList5,E1
onion-cigarette,low,high,pungent,ONION,CIGARETTE,TrialList5,E1
definition-assist,high,high,help,DEFINITION,ASSIST,TrialList6,E1
definition-assist,low,low,rondo,DEFINITION,ASSIST,TrialList6,E1
definition-assist,high,low,explain,DEFINITION,ASSIST,TrialList6,E1
definition-assist,low,high,dictionary,DEFINITION,ASSIST,TrialList6,E1
pants-collar,high,high,clothes,PANTS,COLLAR,TrialList6,E1
pants-collar,low,low,apparel,PANTS,COLLAR,TrialList6,E1
pants-collar,high,low,suit,PANTS,COLLAR,TrialList6,E1
pants-collar,low,high,shirt,PANTS,COLLAR,TrialList6,E1
war-quiet,high,high,peace,WAR,QUIET,TrialList6,E1
war-quiet,low,low,ceasefire,WAR,QUIET,TrialList6,E1
war-quiet,high,low,death,WAR,QUIET,TrialList6,E1
war-quiet,low,high,silence,WAR,QUIET,TrialList6,E1
flat-alike,high,high,same,FLAT,ALIKE,TrialList7,E1
flat-alike,low,low,kansas,FLAT,ALIKE,TrialList7,E1
flat-alike,high,low,feet,FLAT,ALIKE,TrialList7,E1
flat-alike,low,high,similar,FLAT,ALIKE,TrialList7,E1
heavy-feather,high,high,weight,HEAVY,FEATHER,TrialList7,E1
heavy-feather,low,low,antonym,HEAVY,FEATHER,TrialList7,E1
heavy-feather,high,low,might,HEAVY,FEATHER,TrialList7,E1
heavy-feather,low,high,eagle,HEAVY,FEATHER,TrialList7,E1
perjury-adultery,high,high,wrong,PERJURY,ADULTERY,TrialList7,E1
perjury-adultery,low,low,trump,PERJURY,ADULTERY,TrialList7,E1
perjury-adultery,high,low,law,PERJURY,ADULTERY,TrialList7,E1
perjury-adultery,low,high,cheat,PERJURY,ADULTERY,TrialList7,E1
bad-actress,high,high,movie,BAD,ACTRESS,TrialList8,E1
bad-actress,low,low,imitator,BAD,ACTRESS,TrialList8,E1
bad-actress,high,low,music,BAD,ACTRESS,TrialList8,E1
bad-actress,low,high,drama,BAD,ACTRESS,TrialList8,E1
breeze-bubble,high,high,air,BREEZE,BUBBLE,TrialList8,E1
breeze-bubble,low,low,effect,BREEZE,BUBBLE,TrialList8,E1
breeze-bubble,high,low,outside,BREEZE,BUBBLE,TrialList8,E1
breeze-bubble,low,high,wind,BREEZE,BUBBLE,TrialList8,E1
communicate-cooking,high,high,talk,COMMUNICATE,COOKING,TrialList8,E1
communicate-cooking,low,low,ramsey,COMMUNICATE,COOKING,TrialList8,E1
communicate-cooking,high,low,tell,COMMUNICATE,COOKING,TrialList8,E1
communicate-cooking,low,high,recipe,COMMUNICATE,COOKING,TrialList8,E1
bat-bounce,high,high,ball,BAT,BOUNCE,TrialList9,E1
bat-bounce,low,low,echolocation,BAT,BOUNCE,TrialList9,E1
bat-bounce,high,low,move,BAT,BOUNCE,TrialList9,E1
bat-bounce,low,high,sport,BAT,BOUNCE,TrialList9,E1
lunch-almond,high,high,food,LUNCH,ALMOND,TrialList9,E1
lunch-almond,low,low,allergy,LUNCH,ALMOND,TrialList9,E1
lunch-almond,high,low,milk,LUNCH,ALMOND,TrialList9,E1
lunch-almond,low,high,snack,LUNCH,ALMOND,TrialList9,E1
toes-Dracula,high,high,body,TOES,Dracula,TrialList9,E1
toes-Dracula,low,low,fetish,TOES,Dracula,TrialList9,E1
toes-Dracula,high,low,person,TOES,Dracula,TrialList9,E1
toes-Dracula,low,high,vampire,TOES,Dracula,TrialList9,E1
cave-knight,high,high,castle,CAVE,KNIGHT,TrialList1,E2
cave-knight,low,low,opposite,CAVE,KNIGHT,TrialList1,E2
cave-knight,high,low,dark,CAVE,KNIGHT,TrialList1,E2
cave-knight,low,high,medieval,CAVE,KNIGHT,TrialList1,E2
quick-glow,high,high,light,QUICK,GLOW,TrialList1,E2
quick-glow,low,low,firework,QUICK,GLOW,TrialList1,E2
quick-glow,high,low,fire,QUICK,GLOW,TrialList1,E2
quick-glow,low,high,flash,QUICK,GLOW,TrialList1,E2
tree-oak,high,high,forest,TREE,OAK,TrialList1,E2
tree-oak,low,low,deciduous,TREE,OAK,TrialList1,E2
tree-oak,high,low,green,TREE,OAK,TrialList1,E2
tree-oak,low,high,maple,TREE,OAK,TrialList1,E2
chair-table,high,high,sit,CHAIR,TABLE,TrialList10,E2
chair-table,low,low,mealtime,CHAIR,TABLE,TrialList10,E2
chair-table,high,low,dinner,CHAIR,TABLE,TrialList10,E2
chair-table,low,high,furniture,CHAIR,TABLE,TrialList10,E2
feet-chapel,high,high,god,FEET,CHAPEL,TrialList10,E2
feet-chapel,low,low,david,FEET,CHAPEL,TrialList10,E2
feet-chapel,high,low,stand,FEET,CHAPEL,TrialList10,E2
feet-chapel,low,high,kneel,FEET,CHAPEL,TrialList10,E2
garage-bone,high,high,back,GARAGE,BONE,TrialList10,E2
garage-bone,low,low,snoopy,GARAGE,BONE,TrialList10,E2
garage-bone,high,low,car,GARAGE,BONE,TrialList10,E2
garage-bone,low,high,tool,GARAGE,BONE,TrialList10,E2
gold-silver,high,high,jewelry,GOLD,SILVER,TrialList2,E2
gold-silver,low,low,commodity,GOLD,SILVER,TrialList2,E2
gold-silver,high,low,money,GOLD,SILVER,TrialList2,E2
gold-silver,low,high,bronze,GOLD,SILVER,TrialList2,E2
stern-wind,high,high,blow,STERN,WIND,TrialList2,E2
stern-wind,low,low,brisk,STERN,WIND,TrialList2,E2
stern-wind,high,low,air,STERN,WIND,TrialList2,E2
stern-wind,low,high,weather,STERN,WIND,TrialList2,E2
sun-bowl,high,high,breakfast,SUN,BOWL,TrialList2,E2
sun-bowl,low,low,ice cream,SUN,BOWL,TrialList2,E2
sun-bowl,high,low,set,SUN,BOWL,TrialList2,E2
sun-bowl,low,high,plate,SUN,BOWL,TrialList2,E2
holy-kind,high,high,good,HOLY,KIND,TrialList3,E2
holy-kind,low,low,christian,HOLY,KIND,TrialList3,E2
holy-kind,high,low,nice,HOLY,KIND,TrialList3,E2
holy-kind,low,high,saint,HOLY,KIND,TrialList3,E2
rude-regret,high,high,sorry,RUDE,REGRET,TrialList3,E2
rude-regret,low,low,road rage,RUDE,REGRET,TrialList3,E2
rude-regret,high,low,mean,RUDE,REGRET,TrialList3,E2
rude-regret,low,high,shame,RUDE,REGRET,TrialList3,E2
teeth-gums,high,high,mouth,TEETH,GUMS,TrialList3,E2
teeth-gums,low,low,gingivitis,TEETH,GUMS,TrialList3,E2
teeth-gums,high,low,brush,TEETH,GUMS,TrialList3,E2
teeth-gums,low,high,floss,TEETH,GUMS,TrialList3,E2
dream-bet,high,high,chance,DREAM,BET,TrialList4,E2
dream-bet,low,low,dopamine,DREAM,BET,TrialList4,E2
dream-bet,high,low,money,DREAM,BET,TrialList4,E2
dream-bet,low,high,lottery,DREAM,BET,TrialList4,E2
jump-leap,high,high,hop,JUMP,LEAP,TrialList4,E2
jump-leap,low,low,skydive,JUMP,LEAP,TrialList4,E2
jump-leap,high,low,move,JUMP,LEAP,TrialList4,E2
jump-leap,low,high,trampoline,JUMP,LEAP,TrialList4,E2
travel-ankle,high,high,trip,TRAVEL,ANKLE,TrialList4,E2
travel-ankle,low,low,globetrotter,TRAVEL,ANKLE,TrialList4,E2
travel-ankle,high,low,break,TRAVEL,ANKLE,TrialList4,E2
travel-ankle,low,high,leg,TRAVEL,ANKLE,TrialList4,E2
hand-birth,high,high,baby,HAND,BIRTH,TrialList5,E2
hand-birth,low,low,doula,HAND,BIRTH,TrialList5,E2
hand-birth,high,low,right,HAND,BIRTH,TrialList5,E2
hand-birth,low,high,born,HAND,BIRTH,TrialList5,E2
lion-tiger,high,high,animal,LION,TIGER,TrialList5,E2
lion-tiger,low,low,mammal,LION,TIGER,TrialList5,E2
lion-tiger,high,low,cat,LION,TIGER,TrialList5,E2
lion-tiger,low,high,feline,LION,TIGER,TrialList5,E2
snake-ash,high,high,burn,SNAKE,ASH,TrialList5,E2
snake-ash,low,low,pokemon,SNAKE,ASH,TrialList5,E2
snake-ash,high,low,you,SNAKE,ASH,TrialList5,E2
snake-ash,low,high,hiss,SNAKE,ASH,TrialList5,E2
crust-boot,high,high,shoe,CRUST,BOOT,TrialList6,E2
crust-boot,low,low,italy,CRUST,BOOT,TrialList6,E2
crust-boot,high,low,old,CRUST,BOOT,TrialList6,E2
crust-boot,low,high,footwear,CRUST,BOOT,TrialList6,E2
elm-rock,high,high,tree,ELM,ROCK,TrialList6,E2
elm-rock,low,low,lichen,ELM,ROCK,TrialList6,E2
elm-rock,high,low,hard,ELM,ROCK,TrialList6,E2
elm-rock,low,high,wood,ELM,ROCK,TrialList6,E2
sit-stand,high,high,still,SIT,STAND,TrialList6,E2
sit-stand,low,low,symphony,SIT,STAND,TrialList6,E2
sit-stand,high,low,move,SIT,STAND,TrialList6,E2
sit-stand,low,high,chair,SIT,STAND,TrialList6,E2
east-short,high,high,small,EAST,SHORT,TrialList7,E2
east-short,low,low,illinois,EAST,SHORT,TrialList7,E2
east-short,high,low,turn,EAST,SHORT,TrialList7,E2
east-short,low,high,asian,EAST,SHORT,TrialList7,E2
glass-cage,high,high,prison,GLASS,CAGE,TrialList7,E2
glass-cage,low,low,encase,GLASS,CAGE,TrialList7,E2
glass-cage,high,low,break,GLASS,CAGE,TrialList7,E2
glass-cage,low,high,trap,GLASS,CAGE,TrialList7,E2
old-new,high,high,time,OLD,NEW,TrialList7,E2
old-new,low,low,midlife,OLD,NEW,TrialList7,E2
old-new,high,low,god,OLD,NEW,TrialList7,E2
old-new,low,high,age,OLD,NEW,TrialList7,E2
army-drum,high,high,beat,ARMY,DRUM,TrialList8,E2
army-drum,low,low,marching band,ARMY,DRUM,TrialList8,E2
army-drum,high,low,war,ARMY,DRUM,TrialList8,E2
army-drum,low,high,military,ARMY,DRUM,TrialList8,E2
giant-subtle,high,high,big,GIANT,SUBTLE,TrialList8,E2
giant-subtle,low,low,ninja,GIANT,SUBTLE,TrialList8,E2
giant-subtle,high,low,quiet,GIANT,SUBTLE,TrialList8,E2
giant-subtle,low,high,huge,GIANT,SUBTLE,TrialList8,E2
happy-sad,high,high,feeling,HAPPY,SAD,TrialList8,E2
happy-sad,low,low,bipolar,HAPPY,SAD,TrialList8,E2
happy-sad,high,low,marriage,HAPPY,SAD,TrialList8,E2
happy-sad,low,high,emotion,HAPPY,SAD,TrialList8,E2
candle-wick,high,high,fire,CANDLE,WICK,TrialList9,E2
candle-wick,low,low,melt,CANDLE,WICK,TrialList9,E2
candle-wick,high,low,light,CANDLE,WICK,TrialList9,E2
candle-wick,low,high,flame,CANDLE,WICK,TrialList9,E2
olive-real,high,high,truth,OLIVE,REAL,TrialList9,E2
olive-real,low,low,italian,OLIVE,REAL,TrialList9,E2
olive-real,high,low,eat,OLIVE,REAL,TrialList9,E2
olive-real,low,high,genuine,OLIVE,REAL,TrialList9,E2
weird-trauma,high,high,crazy,WEIRD,TRAUMA,TrialList9,E2
weird-trauma,low,low,dysfunction,WEIRD,TRAUMA,TrialList9,E2
weird-trauma,high,low,you,WEIRD,TRAUMA,TrialList9,E2
weird-trauma,low,high,abnormal,WEIRD,TRAUMA,TrialList9,E2
