wordpair,boardnames,alpha,budget,clue,clue_probs_union,clue_probs_intersection
army-drum,e2_board8_words,0.0,budget=2,beat,0.0056424631686172845,1e-09
army-drum,e2_board8_words,0.0,budget=2,marching,1e-09,1e-09
army-drum,e2_board8_words,0.0,budget=2,war,0.00608030180045539,1e-09
army-drum,e2_board8_words,0.0,budget=2,military,0.007082539546117668,1e-09
army-drum,e2_board8_words,0.0,budget=4,beat,0.0005641823523745673,1e-09
army-drum,e2_board8_words,0.0,budget=4,marching,0.0007047348305906007,1e-09
army-drum,e2_board8_words,0.0,budget=4,war,0.0006079612521013365,0.18909455596543295
army-drum,e2_board8_words,0.0,budget=4,military,0.0007081736650296593,1e-09
army-drum,e2_board8_words,0.0,budget=8,beat,0.00026155609751251144,1e-09
army-drum,e2_board8_words,0.0,budget=8,marching,0.0003267165151384264,1e-09
army-drum,e2_board8_words,0.0,budget=8,war,0.00028185208535709945,0.03285975098084349
army-drum,e2_board8_words,0.0,budget=8,military,0.0003283107658484781,1e-09
army-drum,e2_board8_words,0.0,budget=16,beat,0.00016683586750977004,1e-09
army-drum,e2_board8_words,0.0,budget=16,marching,0.0002083990155506924,1e-09
army-drum,e2_board8_words,0.0,budget=16,war,0.00017978184266088506,0.013221013461341498
army-drum,e2_board8_words,0.0,budget=16,military,0.00020941592245047062,1e-09
army-drum,e2_board8_words,0.0,budget=32,beat,0.0001254165474553415,0.004557592261583386
army-drum,e2_board8_words,0.0,budget=32,marching,0.00015666106703301843,1e-09
army-drum,e2_board8_words,0.0,budget=32,war,0.00013514850456462682,0.004911248085406265
army-drum,e2_board8_words,0.0,budget=32,military,0.00015742551267865413,1e-09
army-drum,e2_board8_words,0.0,budget=64,beat,0.0001033067608227674,0.00170203179081188
army-drum,e2_board8_words,0.0,budget=64,marching,0.0001290431582641233,1e-09
army-drum,e2_board8_words,0.0,budget=64,war,0.00011132306318338184,0.001834104477573724
army-drum,e2_board8_words,0.0,budget=64,military,0.00012967283915614288,0.0021364264341540546
army-drum,e2_board8_words,0.0,budget=128,beat,9.095972289439778e-05,0.0008085194458554449
