wordpair,boardnames,budget,clue,clue_probs_union,clue_probs_intersection
army-drum,e2_board8_words,budget=2,band,0.049524315753903966,0.0
army-drum,e2_board8_words,budget=2,battle,0.005418703466251414,0.0
army-drum,e2_board8_words,budget=2,battle cry,0.0,0.0
army-drum,e2_board8_words,budget=2,battle{-}music,0.0,0.0
army-drum,e2_board8_words,budget=2,beat,0.02548509545971759,0.0
army-drum,e2_board8_words,budget=2,bugle,0.049916727695465866,0.0
army-drum,e2_board8_words,budget=2,fighter,0.0,0.0
army-drum,e2_board8_words,budget=2,march,0.0,0.0
army-drum,e2_board8_words,budget=2,marching band,0.0,0.0
army-drum,e2_board8_words,budget=2,militant,0.0,0.0
army-drum,e2_board8_words,budget=2,military,0.07276094757678402,0.0
army-drum,e2_board8_words,budget=2,patriotism,0.0,0.0
army-drum,e2_board8_words,budget=2,revolution,0.0,0.0
army-drum,e2_board8_words,budget=2,soldier,0.048444480065642136,0.0
army-drum,e2_board8_words,budget=2,strike,0.00121675754605251,0.0
army-drum,e2_board8_words,budget=2,war,0.037990869921207336,0.0
army-drum,e2_board8_words,budget=2,wartime,0.0,0.0
army-drum,e2_board8_words,budget=4,band,0.022334574546532395,0.0
army-drum,e2_board8_words,budget=4,battle,0.0024437376805757365,0.0
army-drum,e2_board8_words,budget=4,battle cry,0.0,0.0
army-drum,e2_board8_words,budget=4,battle{-}music,0.0,0.0
army-drum,e2_board8_words,budget=4,beat,0.01149331910407439,0.0
army-drum,e2_board8_words,budget=4,bugle,0.022511545265427646,0.0
army-drum,e2_board8_words,budget=4,fighter,0.0001782679465662681,0.0
army-drum,e2_board8_words,budget=4,march,0.0,0.0
army-drum,e2_board8_words,budget=4,marching band,0.0,0.0
army-drum,e2_board8_words,budget=4,militant,0.0,0.0
army-drum,e2_board8_words,budget=4,military,0.03281387704184311,0.0
army-drum,e2_board8_words,budget=4,patriotism,0.0,0.0
army-drum,e2_board8_words,budget=4,revolution,0.000297559795329532,0.0
army-drum,e2_board8_words,budget=4,soldier,0.02184758809734377,0.0
army-drum,e2_board8_words,budget=4,strike,0.0005487357412953931,0.0
army-drum,e2_board8_words,budget=4,war,0.017133198176007773,0.0
army-drum,e2_board8_words,budget=4,wartime,0.0,0.0
army-drum,e2_board8_words,budget=8,band,0.018780132084196696,0.0
army-drum,e2_board8_words,budget=8,battle,0.0020548283256851263,0.0
army-drum,e2_board8_words,budget=8,battle cry,0.0,0.0
army-drum,e2_board8_words,budget=8,battle{-}music,0.0,0.0
army-drum,e2_board8_words,budget=8,beat,0.009664211440904744,0.0
army-drum,e2_board8_words,budget=8,bugle,0.01892893874576814,0.0
army-drum,e2_board8_words,budget=8,fighter,0.00014989744156164455,0.0
army-drum,e2_board8_words,budget=8,march,0.0,0.0
army-drum,e2_board8_words,budget=8,marching band,0.0,0.0
army-drum,e2_board8_words,budget=8,militant,0.0,0.0
army-drum,e2_board8_words,budget=8,military,0.02759170288901161,0.0
army-drum,e2_board8_words,budget=8,patriotism,0.0,0.0
army-drum,e2_board8_words,budget=8,revolution,0.00025020455382270793,0.0
army-drum,e2_board8_words,budget=8,soldier,0.018370647237287163,0.0
army-drum,e2_board8_words,budget=8,strike,0.00046140702968738866,0.0
army-drum,e2_board8_words,budget=8,war,0.014406530292295184,0.1869268144426597
army-drum,e2_board8_words,budget=8,wartime,0.0,0.0
army-drum,e2_board8_words,budget=16,band,0.016887272714786246,0.0
army-drum,e2_board8_words,budget=16,battle,0.0018477211002744993,0.0
army-drum,e2_board8_words,budget=16,battle cry,0.0,0.0
army-drum,e2_board8_words,budget=16,battle{-}music,0.0,0.0
army-drum,e2_board8_words,budget=16,beat,0.008690150497570189,0.0
army-drum,e2_board8_words,budget=16,bugle,0.017021081074837584,0.0
army-drum,e2_board8_words,budget=16,fighter,0.0001347891997538367,0.0
army-drum,e2_board8_words,budget=16,march,0.0,0.0
army-drum,e2_board8_words,budget=16,marching band,0.0,0.0
army-drum,e2_board8_words,budget=16,militant,0.0,0.0
army-drum,e2_board8_words,budget=16,military,0.024810720673481633,0.19371478102994288
army-drum,e2_board8_words,budget=16,patriotism,0.0,0.0
army-drum,e2_board8_words,budget=16,revolution,0.00022498630552449678,0.0
army-drum,e2_board8_words,budget=16,soldier,0.016519060060512493,0.12897594328498826
army-drum,e2_board8_words,budget=16,strike,0.0004149015729983722,0.0
army-drum,e2_board8_words,budget=16,war,0.012954488542950223,0.1011448214051558
army-drum,e2_board8_words,budget=16,wartime,0.0,0.0
army-drum,e2_board8_words,budget=32,band,0.015720524777537177,0.0
army-drum,e2_board8_words,budget=32,battle,0.0017200613639294323,0.0
army-drum,e2_board8_words,budget=32,battle cry,0.0,0.0
army-drum,e2_board8_words,budget=32,battle{-}music,0.0,0.0
army-drum,e2_board8_words,budget=32,beat,0.008089744775541061,0.05346252090752236
army-drum,e2_board8_words,budget=32,bugle,0.01584508826834803,0.0
army-drum,e2_board8_words,budget=32,fighter,0.0001254765639344043,0.0
army-drum,e2_board8_words,budget=32,march,0.0,0.0
army-drum,e2_board8_words,budget=32,marching band,0.0,0.0
army-drum,e2_board8_words,budget=32,militant,0.0,0.0
army-drum,e2_board8_words,budget=32,military,0.023096538777070304,0.152637595068991
army-drum,e2_board8_words,budget=32,patriotism,0.0,0.0
army-drum,e2_board8_words,budget=32,revolution,0.00020944191820314128,0.0
army-drum,e2_board8_words,budget=32,soldier,0.015377752072158588,0.1016266167202398
army-drum,e2_board8_words,budget=32,strike,0.0003862358693863622,0.0
army-drum,e2_board8_words,budget=32,war,0.012059458123244278,0.07969707944268445
army-drum,e2_board8_words,budget=32,wartime,0.0,0.0
army-drum,e2_board8_words,budget=64,band,0.014599674742120938,0.07265511173945295
army-drum,e2_board8_words,budget=64,battle,0.001597423546937903,0.007949559722941204
army-drum,e2_board8_words,budget=64,battle cry,0.0,0.0
army-drum,e2_board8_words,budget=64,battle{-}music,0.0,0.0
army-drum,e2_board8_words,budget=64,beat,0.00751295800496647,0.03738814822838707
army-drum,e2_board8_words,budget=64,bugle,0.014715357041300938,0.0
army-drum,e2_board8_words,budget=64,fighter,0.00011653027154785852,0.0
army-drum,e2_board8_words,budget=64,march,0.0,0.0
army-drum,e2_board8_words,budget=64,marching band,0.0,0.0
army-drum,e2_board8_words,budget=64,militant,0.0,0.0
army-drum,e2_board8_words,budget=64,military,0.021449789913873165,0.10674463030906176
army-drum,e2_board8_words,budget=64,patriotism,2.600090554351388e-05,0.0
army-drum,e2_board8_words,budget=64,revolution,0.00019450902093936351,0.0
army-drum,e2_board8_words,budget=64,soldier,0.014281341220828131,0.0710709286690442
army-drum,e2_board8_words,budget=64,strike,0.0003586978263498277,0.0
army-drum,e2_board8_words,budget=64,war,0.011199636695154738,0.055734861899364135
army-drum,e2_board8_words,budget=64,wartime,0.0,0.0
army-drum,e2_board8_words,budget=128,band,0.013991360477173089,0.055034850127703074
army-drum,e2_board8_words,budget=128,battle,0.0015308648360124876,0.0060216386357261975
army-drum,e2_board8_words,budget=128,battle cry,0.0,0.0
army-drum,e2_board8_words,budget=128,battle{-}music,0.0,0.0
army-drum,e2_board8_words,budget=128,beat,0.007199920926599934,0.028320803382431387
army-drum,e2_board8_words,budget=128,bugle,0.014102222724260411,0.0
army-drum,e2_board8_words,budget=128,fighter,0.0001116748875935643,0.0
army-drum,e2_board8_words,budget=128,march,0.0,0.0
army-drum,e2_board8_words,budget=128,marching band,0.0,0.0
army-drum,e2_board8_words,budget=128,militant,0.0,0.0
army-drum,e2_board8_words,budget=128,military,0.020556056771510848,0.08085700496977195
army-drum,e2_board8_words,budget=128,patriotism,2.491754430272891e-05,0.0
army-drum,e2_board8_words,budget=128,revolution,0.00018640455188861905,0.0
army-drum,e2_board8_words,budget=128,soldier,0.013686290732329685,0.053834861912593804
army-drum,e2_board8_words,budget=128,strike,0.0003437522191066154,0.0
army-drum,e2_board8_words,budget=128,war,0.010732989397578966,0.042218086216968896
