wordpair,Word1,Word2,boardnames
ankle-travel,ankle,travel,board4
army-drum,army,drum,board8
ash-snake,ash,snake,board5
bet-dream,bet,dream,board4
birth-hand,birth,hand,board5
bone-garage,bone,garage,board10
boot-crust,boot,crust,board6
bowl-sun,bowl,sun,board2
cage-glass,cage,glass,board7
candle-wick,candle,wick,board9
cave-knight,cave,knight,board1
chair-table,chair,table,board10
chapel-feet,chapel,feet,board10
east-short,east,short,board7
elm-rock,elm,rock,board6
giant-subtle,giant,subtle,board8
glow-quick,glow,quick,board1
gold-silver,gold,silver,board2
gums-teeth,gums,teeth,board3
happy-sad,happy,sad,board8
holy-kind,holy,kind,board3
jump-leap,jump,leap,board4
lion-tiger,lion,tiger,board5
new-old,new,old,board7
oak-tree,oak,tree,board1
olive-real,olive,real,board9
regret-rude,regret,rude,board3
sit-stand,sit,stand,board6
stern-wind,stern,wind,board2
trauma-weird,trauma,weird,board9
