wordpair,boardnames,budget,clue,clue_probs_union,clue_probs_intersection
army-drum,e2_board8_words,budget=2,band,0.0496400302125375,1e-09
army-drum,e2_board8_words,budget=2,battle,0.005431364364813,1e-09
army-drum,e2_board8_words,budget=2,battle,0.005431364364813,1e-09
army-drum,e2_board8_words,budget=2,battle,0.005431364364813,1e-09
army-drum,e2_board8_words,budget=2,beat,0.0255446418457595,1e-09
army-drum,e2_board8_words,budget=2,bugle,0.0500333590316916,1e-09
army-drum,e2_board8_words,budget=2,fighter,1e-09,1e-09
army-drum,e2_board8_words,budget=2,marching,1e-09,1e-09
army-drum,e2_board8_words,budget=2,marching,1e-09,1e-09
army-drum,e2_board8_words,budget=2,military,0.0729309548455437,1e-09
army-drum,e2_board8_words,budget=2,military,0.0729309548455437,1e-09
army-drum,e2_board8_words,budget=2,patriotism,1e-09,1e-09
army-drum,e2_board8_words,budget=2,revolution,1e-09,1e-09
army-drum,e2_board8_words,budget=2,soldier,0.0485576714686781,1e-09
army-drum,e2_board8_words,budget=2,strike,0.0012196005220449,1e-09
army-drum,e2_board8_words,budget=2,war,0.0380796362752504,1e-09
army-drum,e2_board8_words,budget=2,war,0.0380796362752504,1e-09
army-drum,e2_board8_words,budget=4,band,0.021868162552813,1e-09
army-drum,e2_board8_words,budget=4,battle,0.0023927052079692,1e-09
army-drum,e2_board8_words,budget=4,battle,0.0023927052079692,1e-09
army-drum,e2_board8_words,budget=4,battle,0.0023927052079692,1e-09
army-drum,e2_board8_words,budget=4,beat,0.0112533045980171,1e-09
army-drum,e2_board8_words,budget=4,bugle,0.0220414375995271,1e-09
army-drum,e2_board8_words,budget=4,fighter,0.0001745451844334,1e-09
army-drum,e2_board8_words,budget=4,marching,0.2240698017903992,1e-09
army-drum,e2_board8_words,budget=4,marching,0.2240698017903992,1e-09
army-drum,e2_board8_words,budget=4,military,0.0321286262088415,1e-09
army-drum,e2_board8_words,budget=4,military,0.0321286262088415,1e-09
army-drum,e2_board8_words,budget=4,patriotism,3.894552714283959e-05,1e-09
army-drum,e2_board8_words,budget=4,revolution,1e-09,1e-09
army-drum,e2_board8_words,budget=4,soldier,0.0213913458214405,1e-09
army-drum,e2_board8_words,budget=4,strike,0.0005372765155738,1e-09
army-drum,e2_board8_words,budget=4,war,0.0167754063092582,0.2832729856268277
army-drum,e2_board8_words,budget=4,war,0.0167754063092582,0.2832729856268277
army-drum,e2_board8_words,budget=8,band,0.0186328472259023,1e-09
army-drum,e2_board8_words,budget=8,battle,0.0020387131515526,0.0297763596476363
army-drum,e2_board8_words,budget=8,battle,0.0020387131515526,0.0297763596476363
army-drum,e2_board8_words,budget=8,battle,0.0020387131515526,0.0297763596476363
army-drum,e2_board8_words,budget=8,beat,0.0095884190020539,1e-09
army-drum,e2_board8_words,budget=8,bugle,0.0187804868579787,1e-09
army-drum,e2_board8_words,budget=8,fighter,0.0001487218575274,1e-09
army-drum,e2_board8_words,budget=8,marching,0.1909194873879171,1e-09
army-drum,e2_board8_words,budget=8,marching,0.1909194873879171,1e-09
army-drum,e2_board8_words,budget=8,military,0.027375312501985,1e-09
army-drum,e2_board8_words,budget=8,military,0.027375312501985,1e-09
army-drum,e2_board8_words,budget=8,patriotism,3.318367766986499e-05,1e-09
army-drum,e2_board8_words,budget=8,revolution,0.0002482423023279,1e-09
army-drum,e2_board8_words,budget=8,soldier,0.0182265738003704,1e-09
army-drum,e2_board8_words,budget=8,strike,0.0004577884039674,1e-09
army-drum,e2_board8_words,budget=8,war,0.0142935457955354,0.2087639253828753
army-drum,e2_board8_words,budget=8,war,0.0142935457955354,0.2087639253828753
army-drum,e2_board8_words,budget=16,band,0.0167150775447375,0.1653176329503636
army-drum,e2_board8_words,budget=16,battle,0.001828880364151,0.0180882303382454
army-drum,e2_board8_words,budget=16,battle,0.001828880364151,0.0180882303382454
army-drum,e2_board8_words,budget=16,battle,0.001828880364151,0.0180882303382454
army-drum,e2_board8_words,budget=16,beat,0.0086015392713555,1e-09
army-drum,e2_board8_words,budget=16,bugle,0.0168475214954077,1e-09
army-drum,e2_board8_words,budget=16,fighter,0.0001334147890029,1e-09
army-drum,e2_board8_words,budget=16,marching,0.171269264315885,1e-09
army-drum,e2_board8_words,budget=16,marching,0.171269264315885,1e-09
army-drum,e2_board8_words,budget=16,military,0.0245577321455199,1e-09
army-drum,e2_board8_words,budget=16,military,0.0245577321455199,1e-09
army-drum,e2_board8_words,budget=16,patriotism,2.976827635340135e-05,1e-09
army-drum,e2_board8_words,budget=16,revolution,0.000222692178119,1e-09
army-drum,e2_board8_words,budget=16,soldier,0.0163506194600551,0.1617130222204374
army-drum,e2_board8_words,budget=16,strike,0.0004106709285288,1e-09
army-drum,e2_board8_words,budget=16,war,0.012822394960095,0.1268177175896483
army-drum,e2_board8_words,budget=16,war,0.012822394960095,0.1268177175896483
army-drum,e2_board8_words,budget=32,band,0.01553930765155,0.1131012322693018
army-drum,e2_board8_words,budget=32,battle,0.0017002334904135,0.0123749723747906
army-drum,e2_board8_words,budget=32,battle,0.0017002334904135,0.0123749723747906
army-drum,e2_board8_words,budget=32,battle,0.0017002334904135,0.0123749723747906
army-drum,e2_board8_words,budget=32,beat,0.0079964908721925,0.0582016259511396
army-drum,e2_board8_words,budget=32,bugle,0.0156624352464142,1e-09
army-drum,e2_board8_words,budget=32,fighter,0.0001240301426083,1e-09
army-drum,e2_board8_words,budget=32,marching,0.1592218631553457,1e-09
