"wordpair","Level","alpha","cost_fn","costweight","collapsed_clues"
"lion-tiger","Easy",2,"2048",0.36,"animal, cat, feline, mammal"
"snake-ash","Hard",2,"512",0.06,"burn, hiss, Pokemon, you"
"hand-birth","Hard",2,"512",0.06,"baby, born, doula, right"
"quick-glow","Medium",4,"2",0.4,"fire, firework, flash, light"
"tree-oak","Easy",2,"2048",0.36,"deciduous, forest, green, maple"
"cave-knight","Medium",4,"2",0.4,"castle, dark, medieval, opposite"
"holy-kind","Easy",2,"2048",0.36,"Christian, good, nice, saint"
"rude-regret","Easy",2,"2048",0.36,"mean, road, shame, sorry"
"teeth-gums","Easy",2,"2048",0.36,"brush, floss, gingivitis, mouth"
"jump-leap","Easy",2,"2048",0.36,"hop, move, sky, trampoline"
"travel-ankle","Hard",2,"512",0.06,"break, globe, leg, trip"
"dream-bet","Hard",2,"512",0.06,"chance, dopamine, lottery, money"
"elm-rock","Hard",2,"512",0.06,"hard, lichen, tree, wood"
"crust-boot","Hard",2,"512",0.06,"Italy, footwear, old, shoe"
"sit-stand","Medium",4,"2",0.4,"chair, move, still, symphony"
"giant-subtle","Hard",2,"512",0.06,"big, huge, ninja, quiet"
"army-drum","Medium",4,"2",0.4,"beat, marching, military, war"
"happy-sad","Easy",2,"2048",0.36,"bipolar, emotion, feeling, marriage"
