"clueGiverID","wordpair","Level","Word1","Word2","seqOrder","correctedClue","boardnames"
455383,"ankle-travel","Hard","ankle","travel","clueOption1","run","board4"
455383,"ankle-travel","Hard","ankle","travel","clueOption2","dance","board4"
455383,"ankle-travel","Hard","ankle","travel","clueOption3","body","board4"
455383,"ankle-travel","Hard","ankle","travel","clueFinal","runner","board4"
455606,"ankle-travel","Hard","ankle","travel","clueOption1","feet","board4"
455606,"ankle-travel","Hard","ankle","travel","clueOption2","legs","board4"
455606,"ankle-travel","Hard","ankle","travel","clueOption3","bipedal","board4"
455606,"ankle-travel","Hard","ankle","travel","clueFinal","feet","board4"
455664,"ankle-travel","Hard","ankle","travel","clueOption1","injury","board4"
455664,"ankle-travel","Hard","ankle","travel","clueOption2","pt","board4"
455664,"ankle-travel","Hard","ankle","travel","clueOption3","fly","board4"
455664,"ankle-travel","Hard","ankle","travel","clueFinal","plane","board4"
457037,"ankle-travel","Hard","ankle","travel","clueOption1","basketball","board4"
457037,"ankle-travel","Hard","ankle","travel","clueOption2","sprain","board4"
457037,"ankle-travel","Hard","ankle","travel","clueOption3","high-top","board4"
457037,"ankle-travel","Hard","ankle","travel","clueFinal","basketball","board4"
457425,"ankle-travel","Hard","ankle","travel","clueOption1","foot","board4"
457425,"ankle-travel","Hard","ankle","travel","clueOption2","walking","board4"
457425,"ankle-travel","Hard","ankle","travel","clueOption3","movement","board4"
457425,"ankle-travel","Hard","ankle","travel","clueFinal","foot","board4"
457520,"ankle-travel","Hard","ankle","travel","clueOption1","walk","board4"
457520,"ankle-travel","Hard","ankle","travel","clueOption2","body","board4"
457520,"ankle-travel","Hard","ankle","travel","clueOption3","move","board4"
457520,"ankle-travel","Hard","ankle","travel","clueFinal","move","board4"
457564,"ankle-travel","Hard","ankle","travel","clueOption1","walking","board4"
457564,"ankle-travel","Hard","ankle","travel","clueOption2","journey","board4"
457564,"ankle-travel","Hard","ankle","travel","clueOption3","running","board4"
457564,"ankle-travel","Hard","ankle","travel","clueFinal","walking","board4"
458120,"ankle-travel","Hard","ankle","travel","clueOption1","boot","board4"
458120,"ankle-travel","Hard","ankle","travel","clueOption2","hike","board4"
458120,"ankle-travel","Hard","ankle","travel","clueOption3","step","board4"
458120,"ankle-travel","Hard","ankle","travel","clueFinal","hike","board4"
458387,"ankle-travel","Hard","ankle","travel","clueOption1","walking","board4"
458387,"ankle-travel","Hard","ankle","travel","clueOption2","destination","board4"
458387,"ankle-travel","Hard","ankle","travel","clueOption3","place","board4"
458387,"ankle-travel","Hard","ankle","travel","clueFinal","walking","board4"
463818,"ankle-travel","Hard","ankle","travel","clueOption1","sprain","board4"
463818,"ankle-travel","Hard","ankle","travel","clueOption2","suitcase","board4"
463818,"ankle-travel","Hard","ankle","travel","clueOption3","movement","board4"
463818,"ankle-travel","Hard","ankle","travel","clueFinal","vacation","board4"
463852,"ankle-travel","Hard","ankle","travel","clueOption1","walking","board4"
463852,"ankle-travel","Hard","ankle","travel","clueOption2","shoes","board4"
463852,"ankle-travel","Hard","ankle","travel","clueOption3","plane","board4"
463852,"ankle-travel","Hard","ankle","travel","clueOption4","sprain","board4"
463852,"ankle-travel","Hard","ankle","travel","clueOption5","boots","board4"
463852,"ankle-travel","Hard","ankle","travel","clueOption6","backpack","board4"
463852,"ankle-travel","Hard","ankle","travel","clueFinal","boots","board4"
463890,"ankle-travel","Hard","ankle","travel","clueOption1","arrest","board4"
463890,"ankle-travel","Hard","ankle","travel","clueOption2","walking","board4"
463890,"ankle-travel","Hard","ankle","travel","clueOption3","movement","board4"
463890,"ankle-travel","Hard","ankle","travel","clueFinal","arrest","board4"
463946,"ankle-travel","Hard","ankle","travel","clueOption1","walk","board4"
463946,"ankle-travel","Hard","ankle","travel","clueOption2","move","board4"
